TransactionID,DateKey,BranchKey,ProductKey,Revenue,Expense,TransactionCount
265,136,8,6,19934,18975,424
266,492,7,6,49804,17188,65
267,697,3,1,38847,3484,140
268,143,5,6,34590,18977,45
269,987,6,6,22787,12674,150
270,157,2,6,10834,20630,479
271,27,1,1,34714,19046,402
272,354,2,4,15552,14017,326
273,226,5,5,1434,6048,307
274,584,2,2,6129,14410,215
275,318,7,6,15398,18173,304
276,89,3,4,45286,27607,190
277,136,4,3,34901,20139,12
278,819,3,1,13888,7463,232
279,862,3,6,32136,10500,401
280,594,5,2,3997,4998,371
281,1063,7,1,24469,6903,343
282,125,1,4,6793,24197,70
283,782,6,2,46873,27381,362
284,270,3,4,28473,13675,365
285,484,6,4,49526,6641,202
286,478,6,5,47202,13330,230
287,559,4,1,4131,1976,232
288,488,1,5,15144,24685,185
289,526,3,6,42996,18568,263
290,849,3,3,11073,777,167
291,1088,2,1,27577,28358,458
292,229,7,5,16093,19433,174
293,57,8,4,2867,17821,413
294,661,5,3,16273,20251,388
295,729,2,5,32843,10263,177
296,1035,8,4,15705,19359,264
297,1083,3,6,11808,10967,420
298,600,6,5,14374,1402,412
299,70,1,2,42950,10017,263
300,586,4,1,47235,876,341
301,771,3,3,47814,6351,254
302,975,2,6,17948,7628,208
303,622,1,4,37439,4977,482
304,562,6,4,46285,1892,60
305,172,2,2,46726,6649,231
306,91,2,6,1187,23063,253
307,645,4,3,16976,2093,26
308,373,5,5,40128,23330,232
309,892,1,1,26918,5638,87
310,448,5,4,1784,4410,233
311,207,4,3,10213,13911,42
312,389,4,3,17653,11109,283
313,1035,1,4,10803,18818,472
314,732,6,2,11506,24618,471
315,808,7,5,27245,28558,221
316,148,7,5,28163,11779,199
317,1048,2,6,2384,9144,443
318,659,6,6,49814,1833,43
319,877,3,2,42756,3871,421
320,1020,5,1,27324,9866,270
321,982,5,4,35006,4109,273
322,918,3,6,18694,12283,448
323,131,6,1,25986,15560,350
324,243,4,2,8226,11334,459
325,521,8,4,18545,17657,94
326,800,1,5,39306,1199,445
327,149,1,1,36698,3044,298
328,594,4,1,47650,28322,50
329,36,7,5,25063,1502,139
330,343,3,4,4924,12467,107
331,420,4,5,36218,11955,36
332,22,7,3,34554,3331,473
333,521,2,3,29959,24182,173
334,382,4,1,44830,1774,176
335,176,5,2,24767,8928,421
336,606,7,5,45054,29923,326
337,306,2,6,20217,24553,396
338,478,2,3,22761,2527,187
339,689,5,5,20282,12112,81
340,170,8,3,30581,27410,460
341,187,7,1,23484,6257,112
342,441,3,4,39942,17419,234
343,512,4,6,33600,20265,346
344,621,7,2,8619,25783,432
345,787,7,4,3339,11559,101
346,662,4,6,37265,24765,200
347,901,7,3,40358,8621,439
348,464,1,1,4328,1519,230
349,234,3,6,9177,26402,100
350,224,2,5,21880,10996,70
351,723,5,5,10497,7803,316
352,515,1,1,32342,14740,20
353,836,1,3,30290,22256,190
354,163,3,6,35670,21403,141
355,105,7,5,33836,14866,284
356,406,7,4,24179,4101,412
357,432,8,1,9263,24633,271
358,765,4,3,5094,18769,38
359,759,8,1,47248,9305,458
360,670,5,5,41187,7818,213
361,860,3,5,3890,27104,101
362,32,6,5,8431,20779,37
363,615,2,6,35011,8893,181
364,285,8,1,25520,6611,259
365,411,1,2,40872,6954,113
366,708,5,4,42488,1777,128
367,255,4,2,49082,15064,149
368,250,5,5,47761,13000,333
369,513,4,2,4427,15402,477
370,203,3,5,46640,6990,26
371,908,7,6,28034,14954,148
372,661,5,4,22148,9267,346
373,450,5,5,38101,20440,60
374,273,8,6,33685,29971,94
375,303,3,6,44240,10531,449
376,1091,8,5,25134,23637,462
377,150,5,1,47522,21456,41
378,640,1,3,47152,22646,496
379,594,6,5,1841,28570,279
380,551,3,5,25471,26469,345
381,1049,1,3,42774,2794,43
382,816,5,3,46482,25071,162
383,369,3,6,46164,9275,201
384,910,1,4,9084,5740,153
385,429,5,3,30477,5576,283
386,429,5,4,2492,16841,456
387,325,1,1,3928,19561,454
388,739,2,1,24749,7655,289
389,977,8,1,3208,6323,349
390,40,6,1,15281,17452,157
391,13,8,3,30966,14176,24
392,97,6,2,47546,19279,364
393,955,3,3,26679,18006,122
394,273,1,6,35790,19210,372
395,814,1,5,21383,11637,199
396,614,3,6,38657,8541,115
397,852,7,2,2485,22175,300
398,594,4,2,32274,4569,157
399,261,5,6,34631,2439,390
400,934,1,4,26133,18098,97
401,889,6,5,13757,28152,60
402,669,2,5,1716,13409,80
403,1086,3,4,35020,14033,463
404,770,5,5,46568,23371,275
405,947,6,6,6997,14722,169
406,472,2,5,48729,8913,478
407,605,4,6,48822,1305,225
408,795,5,6,21988,25513,113
409,544,8,2,26033,14920,213
410,16,7,3,43344,14954,333
411,378,7,5,12707,19054,191
412,783,2,5,8927,18917,460
413,375,6,6,19394,19384,119
414,612,2,5,28446,28773,75
415,726,1,6,1702,27116,266
416,644,1,3,15545,747,333
417,30,8,5,34046,15860,246
418,892,7,2,20826,4839,250
419,622,6,1,6091,28365,217
420,840,1,1,29249,13392,255
421,119,3,2,16732,6200,113
422,290,4,3,29801,13132,274
423,456,4,2,20985,1084,253
424,235,1,5,27347,15609,147
425,189,1,5,5930,9992,419
426,1024,8,1,44500,28115,56
427,659,3,1,31107,23291,491
428,730,7,2,30520,17627,132
429,721,3,5,30067,26638,297
430,946,6,2,44065,5954,217
431,52,7,6,14282,5056,114
432,699,8,2,31024,29385,194
433,140,2,4,42595,26373,461
434,784,1,3,34908,16549,321
435,797,2,6,32152,6910,10
436,987,6,6,22780,29593,58
437,755,5,1,16245,5373,258
438,503,3,6,26247,11317,366
439,104,8,4,37972,995,155
440,552,5,4,4173,12311,403
441,338,7,6,40495,22147,452
442,64,6,4,34971,1695,149
443,542,6,4,1717,7891,462
444,230,2,4,49813,13029,363
445,126,8,6,23732,27295,37
446,840,4,4,35659,14921,158
447,961,7,3,13408,17398,487
448,757,5,1,42161,6507,221
449,990,1,2,13958,5356,490
450,895,1,3,36251,21933,262
451,560,2,6,35720,27590,317
452,354,7,1,38861,6580,406
453,677,1,6,47161,26955,458
454,853,1,2,10905,7182,267
455,741,6,4,39899,12986,395
456,1079,6,5,49843,28881,430
457,98,4,5,26563,16665,229
458,46,5,6,28477,29721,332
459,656,4,4,7809,12613,12
460,45,3,3,3474,25784,200
461,526,8,1,12009,25669,176
462,142,6,4,14146,28952,489
463,208,6,1,25143,6571,346
464,479,5,6,35199,6299,246
465,926,8,4,16214,9937,272
466,1042,1,1,16564,11666,200
467,801,1,5,30586,28354,253
468,315,3,3,45526,29029,235
469,849,5,1,44590,516,13
470,63,6,3,23744,11082,486
471,472,2,1,36988,27655,438
472,806,6,5,11001,16386,64
473,126,5,1,22300,16421,146
474,522,5,4,34554,14818,145
475,45,3,6,4769,19288,250
476,910,4,5,46484,10512,301
477,498,2,4,14172,15146,410
478,482,7,1,16555,29319,471
479,827,4,3,32682,3180,341
480,1039,7,2,45856,24404,185
481,719,3,6,3898,7622,82
482,758,3,5,31256,7165,491
483,820,1,2,9219,11152,168
484,773,2,2,13500,24040,34
485,161,6,1,40614,26923,424
486,872,6,4,30387,10405,222
487,915,7,4,21129,3430,282
488,783,7,5,4441,26286,287
489,864,2,6,20293,25682,234
490,174,1,4,48455,28301,211
491,540,8,1,22170,13854,464
492,445,7,2,5060,25878,285
493,783,6,4,21133,24274,66
494,387,2,2,36049,2797,304
495,1089,4,3,49596,28497,169
496,865,7,4,3637,7137,436
497,632,1,6,15304,17683,325
498,794,4,5,14772,15995,198
499,847,5,4,42427,19959,349
500,246,1,5,25244,27522,184
501,498,2,3,7792,4653,377
502,757,2,5,21102,28559,53
503,1037,7,2,5010,18835,299
504,463,7,5,32652,19968,261
505,58,4,4,30745,6405,79
506,506,4,3,43173,18265,145
507,558,3,2,44557,5308,198
508,291,4,4,23119,25351,384
509,1044,1,4,49473,16680,346
510,451,5,1,30978,16560,86
511,302,2,2,4366,11657,66
512,397,3,2,40590,15354,209
513,59,2,4,25890,20941,175
514,249,8,2,31699,18535,340
515,185,2,3,48805,1825,118
516,424,6,3,33532,2176,258
517,1089,1,6,12746,1536,433
518,33,8,3,46607,25568,241
519,713,7,2,42393,15114,395
520,193,5,3,5449,1949,107
521,992,5,3,16934,20880,132
522,1021,4,2,14767,16719,113
523,569,6,1,38682,13357,452
524,313,2,2,45807,516,286
525,326,1,6,17107,5246,480
526,1000,2,3,46785,14976,151
527,418,4,3,48677,21033,55
528,986,3,2,37463,11904,137
529,1096,7,1,47949,22134,60
530,325,8,5,13806,4789,218
531,712,3,3,20021,23783,304
532,540,4,1,11137,6095,101
533,579,7,5,25024,1313,241
534,648,5,5,42734,7883,278
535,577,7,4,11757,7598,426
536,773,5,5,19000,17677,230
537,849,3,5,16796,4554,269
538,879,5,6,15620,5230,261
539,246,6,4,26025,10112,482
540,83,1,2,26926,24814,466
541,1066,3,4,37313,2848,105
542,74,6,5,14253,29523,339
543,1012,5,3,34474,13004,333
544,74,4,5,18849,27595,487
545,566,4,5,12787,24918,351
546,873,1,1,23997,17185,339
547,783,6,1,1285,29748,44
548,1086,3,5,21768,24544,463
549,6,2,2,7682,19155,447
550,346,4,2,47375,5239,61
551,724,3,3,8975,13556,192
552,223,5,2,41233,27950,100
553,402,3,4,19691,14616,300
554,176,1,6,21791,7740,25
555,442,1,3,47758,18642,411
556,648,3,5,22682,7124,197
557,452,4,5,31915,23684,206
558,1072,3,1,47979,16494,322
559,887,5,3,36242,29878,467
560,843,4,3,48544,11340,256
561,756,3,1,21317,15991,178
562,695,6,2,36103,14257,94
563,664,8,1,35103,11488,148
564,273,5,6,28381,14495,132
565,70,6,4,20744,12885,209
566,444,2,2,30994,16841,262
567,878,7,6,40713,557,133
568,977,2,2,20857,7913,258
569,357,2,5,1705,15856,134
570,255,8,5,40983,26013,496
571,687,8,1,33244,24882,393
572,585,3,5,29419,12573,168
573,1074,7,3,19735,21733,399
574,834,5,4,46631,3495,132
575,889,8,1,12427,24183,443
576,18,5,1,8776,29931,70
577,617,3,3,8044,1420,271
578,684,3,5,41562,24512,31
579,56,4,5,31975,735,310
580,43,5,4,16682,27770,400
581,1086,8,6,49168,11863,498
582,312,7,5,21223,11856,112
583,917,6,3,33705,24596,247
584,1032,3,3,45271,7070,210
585,472,8,1,3682,18293,207
586,991,3,5,45193,15183,374
587,499,3,4,24420,29848,52
588,805,8,4,27324,21183,325
589,965,1,5,34477,26787,313
590,377,1,3,41915,23323,392
591,604,3,3,43240,12592,210
592,496,2,4,39385,11246,84
593,307,8,5,23522,19182,83
594,6,6,4,7127,12416,344
595,103,3,2,34852,21160,173
596,448,5,1,28489,24406,434
597,17,8,1,6231,24308,256
598,14,2,3,32215,14487,423
599,1084,1,2,38558,10496,139
600,980,4,1,23350,16999,447
601,248,4,5,20729,814,196
602,184,3,2,36617,5189,58
603,881,1,6,12456,14369,277
604,265,3,1,14107,12358,449
605,290,3,6,5059,28028,210
606,354,1,4,42041,17532,326
607,358,8,3,29002,5736,292
608,752,1,2,37697,28884,403
609,553,4,5,48925,8575,306
610,34,7,3,3297,7599,196
611,875,7,1,4907,29816,65
612,592,6,1,20699,794,198
613,458,3,1,5931,25185,450
614,1052,7,3,1071,19186,106
615,639,6,4,38224,19536,150
616,943,1,2,15667,29201,250
617,718,4,3,38108,14384,82
618,8,3,3,31831,29830,434
619,88,7,2,13265,21616,453
620,973,8,1,10542,5391,398
621,1073,2,3,38123,17225,44
622,1076,2,2,8070,4533,404
623,858,8,6,1596,8713,219
624,659,7,1,23020,19143,450
625,918,8,5,47222,1311,45
626,1032,8,1,34742,16770,283
627,747,1,2,36618,6713,346
628,783,4,3,23654,4972,307
629,997,4,4,4102,6284,443
630,427,2,5,6552,17424,255
631,718,2,6,31009,25462,91
632,499,6,1,42902,8813,418
633,797,1,4,30999,29621,131
634,544,8,2,30514,15241,483
635,86,6,6,1397,27466,148
636,84,3,1,10823,4683,47
637,961,3,4,29286,18860,351
638,935,2,6,33015,2838,302
639,263,6,4,23277,1205,219
640,1042,7,5,8880,11682,290
641,384,8,6,14666,26817,459
642,550,2,5,9412,20183,497
643,213,7,2,9116,2146,158
644,827,6,4,3941,5901,324
645,491,1,3,29090,21590,384
646,332,6,1,38137,26834,417
647,40,5,3,22189,20292,62
648,1053,6,5,19928,19733,189
649,609,8,2,23798,7659,299
650,131,1,1,12394,22758,397
651,707,3,3,37219,17697,21
652,547,6,5,27636,18137,488
653,479,7,2,48820,20245,62
654,191,8,4,37971,1755,282
655,1020,6,6,23355,1484,12
656,801,2,3,44897,14548,174
657,255,8,4,49102,13270,430
658,265,3,1,29701,17693,364
659,759,6,2,7644,8290,303
660,1023,7,2,15039,19922,333
661,653,1,4,21497,19198,302
662,584,3,6,46109,12323,34
663,929,5,4,41346,13688,276
664,70,4,1,22228,11507,402
665,589,1,2,32199,19327,123
666,986,2,3,26991,1564,402
667,970,4,2,9259,12138,48
668,165,1,5,19549,19000,437
669,308,1,3,42195,741,355
670,310,2,1,48277,27816,384
671,680,8,6,9089,10522,175
672,1033,6,6,26643,8914,113
673,320,6,5,47883,26996,331
674,373,4,4,49893,15043,315
675,27,5,5,17073,20093,428
676,589,3,1,3089,7318,453
677,423,8,3,39673,5494,33
678,937,4,5,1331,25660,356
679,261,5,3,2225,21451,231
680,603,7,4,44542,21267,336
681,757,2,3,25061,12074,22
682,272,3,4,44249,7537,198
683,474,4,1,10647,1499,467
684,450,6,2,11208,17161,345
685,277,5,6,30490,25155,279
686,410,7,1,18876,16747,335
687,297,6,3,24655,7329,459
688,498,1,4,31358,16561,19
689,605,7,3,27969,13692,276
690,305,2,1,20529,22507,149
691,557,8,3,13586,18304,487
692,377,1,5,36458,1064,299
693,416,5,2,18714,937,70
694,1026,6,2,13151,24085,13
695,939,3,4,21481,19721,309
696,778,2,3,37735,24524,16
697,86,7,3,43322,12012,175
698,193,1,6,11396,6517,344
699,1033,3,2,17335,9590,234
700,193,8,1,40860,28928,19
701,868,8,5,11972,25793,270
702,200,4,3,2320,13222,265
703,951,6,4,26877,10813,85
704,716,8,2,27750,7408,310
705,482,3,6,48093,2165,421
706,625,1,3,11175,17193,260
707,588,4,5,35137,25534,411
708,1056,2,2,19777,18006,280
709,920,6,5,35565,24427,457
710,508,4,5,3053,18538,138
711,614,7,4,40667,22004,451
712,452,5,4,49098,23534,303
713,557,7,5,40148,29984,145
714,949,2,2,43288,27934,28
715,813,8,4,26542,28658,317
716,164,6,3,12611,24225,293
717,592,4,6,14257,11957,476
718,868,3,6,48191,21462,203
719,572,1,1,36793,22164,388
720,926,7,4,7918,3508,27
721,705,4,6,14830,23726,229
722,306,5,1,16051,20200,164
723,692,3,5,29501,28121,77
724,423,3,5,41967,15561,88
725,305,5,2,39888,26188,489
726,521,6,4,32474,628,276
727,332,6,1,22956,25166,28
728,570,8,5,29350,7669,476
729,895,7,2,21045,8535,187
730,785,3,1,36777,9523,391
731,39,5,6,24996,25452,126
732,754,6,2,20028,13582,75
733,694,3,3,40685,19444,250
734,692,1,6,6795,5126,190
735,225,7,6,49491,9423,420
736,689,3,5,25640,24939,187
737,821,7,6,48582,10207,257
738,576,5,4,29713,12157,79
739,594,1,1,41751,20243,128
740,94,5,2,45028,18274,80
741,889,1,1,31447,14594,28
742,454,5,3,9646,27711,20
743,672,7,2,12895,19473,87
744,307,8,3,1087,19517,470
745,785,3,3,15718,9314,152
746,365,7,3,42258,28238,66
747,956,5,1,48293,19496,161
748,323,8,1,5487,1568,377
749,676,4,1,34175,9930,122
750,574,3,1,28771,5740,338
751,876,8,5,35642,18364,407
752,575,3,5,9722,27069,213
753,431,3,6,39392,6534,461
754,786,8,5,19983,29655,388
755,824,4,5,1877,18348,388
756,294,1,1,2653,7541,275
757,595,5,2,24869,12217,141
758,517,2,4,9954,5399,110
759,55,5,6,45264,29127,270
760,391,1,4,5330,12484,305
761,132,7,6,15102,20067,165
762,810,2,3,18849,20194,37
763,1019,6,4,15140,17366,78
764,284,3,5,10018,29799,277
765,624,6,1,22444,16443,409
766,267,7,3,6288,24223,282
767,735,1,3,7130,24376,152
768,826,8,6,24871,28082,283
769,1046,2,4,27211,2785,459
770,474,1,2,47748,19698,49
771,1029,6,2,7562,15042,356
772,4,8,4,20407,14478,240
773,715,1,4,34603,16360,321
774,129,6,4,32856,21473,196
775,205,4,5,37010,6816,330
776,763,6,3,10827,11907,463
777,210,8,1,29165,8893,321
778,65,8,5,6131,21836,48
779,72,8,2,16070,24422,87
780,164,4,2,42573,4591,445
781,450,7,3,19778,23136,114
782,570,3,3,27093,29144,335
783,50,8,1,4409,18048,113
784,602,4,1,20713,24239,104
785,190,2,5,46077,4503,288
786,164,1,3,21280,2250,160
787,202,8,1,45759,22105,235
788,773,1,5,10497,25283,126
789,187,1,1,19151,17318,163
790,21,3,4,23652,20315,390
791,578,6,4,15305,16858,64
792,149,2,5,20417,7213,83
793,914,5,4,48713,1152,109
794,696,1,2,26211,8234,430
795,108,2,5,20304,27141,350
796,942,2,6,24901,13575,47
797,591,4,6,21659,11605,144
798,359,3,4,12002,27835,307
799,296,3,2,12261,13895,452
800,139,4,1,8990,21893,448
801,857,7,6,26166,9278,164
802,195,8,2,38897,15409,267
803,978,7,1,33762,28665,337
804,760,4,4,20563,22040,114
805,630,5,2,39609,14052,36
806,618,8,2,43691,8604,268
807,745,6,6,7838,5070,62
808,450,1,2,13372,29563,453
809,538,2,4,5137,26194,424
810,510,7,6,26787,21687,488
811,34,2,2,7599,4941,337
812,748,8,3,32913,1766,186
813,779,5,6,14799,4053,332
814,778,1,2,1730,2946,411
815,845,4,6,9089,3521,221
816,280,7,3,29013,23340,288
817,970,8,2,25138,3376,365
818,79,8,2,14931,21038,37
819,3,1,3,23816,24467,480
820,542,1,6,34769,24823,155
821,835,1,4,28181,5367,463
822,12,3,6,10510,28434,400
823,256,2,3,48964,6747,81
824,129,2,6,7736,5405,214
825,80,5,4,11923,14055,414
826,390,4,1,35814,19462,188
827,251,7,2,9315,17017,310
828,934,2,4,27282,8343,403
829,587,2,2,20568,2985,393
830,403,5,2,29467,28084,286
831,964,5,2,33145,20631,11
832,495,1,2,34137,13203,27
833,368,2,1,35303,8579,156
834,341,6,5,30160,19031,212
835,213,2,6,15430,13138,470
836,79,1,3,2830,2821,342
837,129,6,4,45699,29195,110
838,278,3,1,30711,18211,100
839,973,8,6,20499,10849,33
840,611,7,3,42239,6947,476
841,30,8,5,30215,19033,411
842,408,1,6,44352,15863,424
843,44,5,2,2275,23457,287
844,829,1,4,3689,7857,58
845,529,7,2,41193,16482,495
846,29,4,5,48602,3251,235
847,52,1,5,42315,16175,57
848,731,8,1,30300,10718,179
849,848,4,6,46040,1586,477
850,721,2,4,14363,11014,255
851,180,4,2,15123,1776,63
852,684,3,2,26507,15083,30
853,580,3,1,28828,28332,220
854,231,8,5,41336,12248,195
855,393,4,2,34819,11902,230
856,371,5,4,22849,16123,375
857,49,4,2,33063,6495,339
858,660,7,2,36706,6244,346
859,36,1,3,4484,8603,93
860,218,3,5,12343,11275,459
861,929,7,6,3096,16931,443
862,1009,8,4,48117,27262,89
863,940,7,2,20390,5547,88
864,246,1,6,2037,19951,232
865,942,2,3,49653,28062,295
866,2,6,5,38063,7448,447
867,1040,3,5,3382,16645,159
