LoadID,DateKey,TableName,RecordCount,MissingValues,ErrorCount,LoadDurationSeconds,LoadStatus
112,415,Product,162565,2768,85,515,Fail
113,168,Account,74464,726,431,329,Fail
114,846,Product,187083,219,321,751,Success
115,500,Card,77757,4139,16,237,Success
116,576,Branch,64804,2512,380,393,Success
117,128,Card,30581,2079,452,513,Success
118,571,Branch,181915,450,347,693,Success
119,702,Transaction,16419,4326,311,598,Success
120,756,Card,135422,3701,105,512,Success
121,911,Account,168050,4672,346,782,Success
122,266,Customer,139890,3201,151,246,Success
123,794,Branch,189061,2514,388,761,Success
124,675,Product,9235,3618,83,790,Success
125,903,Account,84204,2638,255,298,Success
126,30,Account,122580,2356,354,361,Success
127,110,Customer,61500,2113,72,63,Success
128,815,Loan,97345,2754,391,568,Success
129,1001,Transaction,146988,2396,438,46,Success
130,336,Account,3161,127,28,181,Success
131,107,Transaction,165247,1339,476,798,Success
132,1033,Customer,88487,3178,394,387,Success
133,402,Account,55350,9,140,33,Fail
134,296,Card,146865,264,117,325,Success
135,90,Customer,175061,2496,194,318,Success
136,589,Customer,20857,4338,370,310,Success
137,147,Branch,65934,3495,63,455,Success
138,885,Branch,184027,1391,84,716,Success
139,107,Card,120721,51,328,34,Success
140,255,Loan,84833,40,224,121,Success
141,716,Account,174453,2644,42,250,Success
142,950,Account,123864,4923,474,727,Fail
143,820,Loan,18940,2276,231,725,Success
144,111,Product,86009,3838,480,610,Success
145,889,Customer,110532,4115,61,213,Success
146,32,Customer,133445,755,298,121,Success
147,230,Loan,4813,3558,154,554,Success
148,683,Account,79243,3947,362,542,Success
149,1077,Card,55519,2979,446,175,Success
150,910,Customer,17738,2557,150,285,Success
151,607,Account,116264,2896,37,563,Success
152,356,Customer,42591,4601,362,22,Success
153,865,Account,171365,1218,4,727,Success
154,518,Transaction,47063,2347,325,186,Success
155,818,Transaction,82942,2934,440,473,Success
156,686,Product,19554,4507,45,183,Fail
157,343,Branch,12374,3617,80,700,Success
158,586,Branch,82986,446,460,774,Success
159,473,Account,126865,4370,74,437,Success
160,137,Product,36953,242,422,432,Success
161,581,Branch,111619,3451,419,369,Success
162,683,Product,125906,183,362,299,Success
163,457,Customer,25009,1088,416,303,Success
164,611,Card,93335,4887,359,640,Success
165,369,Product,12440,4990,359,691,Fail
166,235,Product,87120,521,372,26,Success
167,46,Account,131017,1647,125,397,Success
168,1019,Card,4276,957,151,245,Success
169,502,Transaction,3365,4805,253,709,Success
170,509,Transaction,131553,305,231,603,Success
171,436,Loan,64516,4818,433,170,Success
172,82,Customer,79681,402,117,203,Success
173,701,Product,32568,1177,135,760,Success
174,287,Loan,199439,3935,286,159,Fail
175,307,Customer,173395,4702,492,151,Success
176,638,Card,57684,3507,476,130,Success
177,718,Branch,11944,455,79,604,Success
178,33,Card,141124,2121,169,548,Success
179,456,Customer,42284,1006,65,552,Success
180,1069,Customer,192786,518,118,113,Success
181,989,Card,189944,4619,419,217,Success
182,341,Account,183074,1378,0,132,Success
183,296,Transaction,93042,4258,419,760,Success
184,230,Transaction,12188,4116,27,660,Success
185,583,Account,171832,3428,360,595,Success
186,959,Account,148027,1536,355,451,Success
187,1086,Card,7684,2964,119,667,Success
188,506,Transaction,48849,3254,435,707,Success
189,155,Card,169619,2481,429,399,Success
190,997,Branch,89948,4985,465,506,Fail
191,1025,Branch,164436,71,77,288,Success
192,382,Card,100367,449,262,299,Success
193,175,Product,144602,3988,19,497,Success
194,889,Customer,101178,4636,218,148,Success
195,658,Customer,17356,2158,490,422,Success
196,264,Customer,32763,4988,281,92,Success
197,13,Customer,153292,4677,22,687,Success
198,240,Transaction,9886,3866,14,609,Success
199,156,Customer,131832,3203,238,725,Success
200,171,Card,146616,66,434,662,Success
201,1082,Account,62885,1402,66,785,Success
202,962,Customer,102159,4915,407,494,Success
203,657,Loan,61235,3012,405,63,Success
204,1062,Branch,181184,4477,305,631,Success
205,1084,Card,60153,524,164,115,Success
206,733,Transaction,128675,1927,426,111,Success
207,137,Product,10839,2935,97,521,Success
208,960,Transaction,175448,4952,190,65,Success
209,449,Branch,69007,745,478,248,Success
210,805,Customer,115553,418,187,394,Success
211,438,Card,108486,467,88,621,Success
212,366,Account,15967,629,490,755,Success
213,989,Transaction,109888,1124,205,153,Success
214,225,Product,93043,2663,395,775,Success
215,926,Product,65651,2725,496,646,Success
216,683,Product,105577,4522,457,589,Success
217,233,Transaction,80372,3362,450,593,Success
218,202,Product,166056,1273,8,165,Fail
219,673,Branch,7044,2774,38,358,Success
220,745,Loan,143995,1148,241,308,Success
221,831,Customer,183050,4447,365,621,Success
222,1015,Customer,67012,1842,386,273,Success
223,834,Branch,54640,3468,359,681,Success
224,146,Card,191896,3514,294,534,Success
225,478,Card,108562,918,420,274,Success
226,990,Transaction,80520,1927,291,24,Success
227,749,Customer,167817,4089,479,597,Success
228,346,Branch,196760,4555,282,658,Success
229,492,Loan,48106,1479,163,128,Success
230,364,Transaction,20152,1955,88,323,Success
231,1061,Customer,89235,1172,267,751,Fail
232,1072,Customer,46841,2471,174,338,Success
233,909,Branch,163147,4418,324,90,Success
234,663,Product,185469,4560,190,443,Success
235,240,Branch,17410,3625,335,551,Success
236,551,Branch,134731,1504,229,592,Success
237,679,Branch,194592,1008,459,302,Success
238,225,Branch,31433,4020,86,419,Success
239,886,Transaction,3604,1107,449,576,Success
240,1033,Product,47532,4609,19,614,Success
241,1028,Loan,118244,3388,474,655,Success
242,458,Transaction,135080,1947,9,171,Success
243,31,Card,37563,3578,110,440,Success
244,767,Product,16605,167,145,205,Success
245,797,Account,55508,1261,308,702,Success
246,209,Customer,12869,4613,132,708,Success
247,686,Card,10285,664,496,556,Success
248,779,Branch,29906,1883,430,39,Success
249,23,Customer,77836,874,210,720,Success
250,605,Product,4800,1352,471,751,Success
251,95,Transaction,65136,1779,14,372,Success
252,607,Product,80399,4764,113,725,Success
253,994,Branch,159067,2530,440,117,Success
254,728,Branch,199887,1242,260,606,Success
255,435,Branch,145183,1521,33,179,Success
256,961,Account,58303,250,444,287,Success
257,176,Product,21082,1059,382,497,Success
258,996,Account,57600,129,100,129,Success
259,568,Product,118673,809,244,51,Fail
260,858,Account,191028,833,357,67,Success
261,693,Transaction,43804,3009,485,767,Fail
262,1021,Branch,57194,2217,83,625,Success
263,388,Branch,181646,889,139,570,Success
264,450,Transaction,18814,3511,142,165,Success
265,504,Branch,125320,2866,4,408,Success
266,735,Product,186542,4466,309,470,Success
267,55,Card,156597,1407,465,771,Fail
268,526,Branch,19697,3252,488,555,Success
269,430,Customer,26808,1671,435,374,Success
270,805,Card,124813,1301,384,200,Success
271,348,Product,79945,1914,11,640,Success
272,864,Card,167503,1888,249,239,Success
273,1058,Customer,39591,1292,155,720,Success
274,450,Loan,145380,1111,156,662,Success
275,830,Loan,138434,2587,17,552,Success
276,905,Transaction,1817,2227,38,100,Success
277,458,Loan,61969,3611,98,646,Success
278,448,Product,131211,327,120,425,Success
279,999,Customer,131938,4279,60,296,Success
280,397,Customer,40899,1793,269,266,Success
281,335,Card,107099,4162,377,209,Success
282,919,Card,166374,1788,39,434,Success
283,533,Account,53353,2081,354,325,Success
284,409,Branch,180192,4367,66,292,Success
285,732,Account,57425,30,166,383,Fail
286,280,Transaction,108705,3434,399,80,Success
287,1085,Branch,108179,3300,458,714,Success
288,91,Account,86603,242,1,559,Fail
289,804,Customer,49689,1764,344,645,Success
290,223,Product,24840,63,120,591,Success
291,220,Card,64806,874,381,442,Success
292,557,Account,165508,74,175,600,Success
293,998,Card,173780,3094,297,508,Success
294,223,Account,2123,2360,252,232,Success
295,830,Card,191053,4563,356,496,Success
296,974,Account,173185,289,201,112,Success
297,287,Loan,44358,469,144,593,Fail
298,266,Product,174257,2723,134,197,Success
299,754,Account,87586,186,6,707,Fail
300,576,Account,125952,36,98,237,Success
301,40,Loan,115681,1596,385,277,Success
302,586,Branch,31357,14,169,201,Success
303,438,Transaction,65454,1162,388,99,Success
304,964,Customer,76905,2595,81,555,Success
305,434,Customer,141355,4086,261,492,Success
306,477,Card,40992,4201,30,396,Fail
307,94,Loan,95170,4000,386,29,Success
308,828,Transaction,178271,4582,480,149,Success
309,490,Loan,118044,161,355,658,Success
310,268,Product,61208,3370,375,678,Success
311,318,Card,167036,4789,360,55,Success
312,880,Loan,9904,522,132,255,Success
313,349,Product,133224,2535,427,547,Success
314,558,Loan,28491,1761,226,319,Success
315,932,Card,184989,1242,284,286,Success
316,796,Product,95811,794,183,82,Success
317,220,Product,188531,3670,443,355,Success
318,1094,Card,75119,2409,408,332,Success
319,534,Customer,183601,4022,455,663,Success
320,893,Transaction,63415,2298,43,171,Success
321,934,Product,103783,2950,106,586,Success
322,372,Customer,156610,245,467,763,Success
323,345,Loan,73310,3403,54,69,Success
324,511,Transaction,60237,4335,408,589,Success
325,761,Loan,92110,171,343,64,Success
326,303,Loan,27301,4482,12,765,Success
327,622,Branch,87431,2098,333,149,Success
328,813,Branch,14487,3408,129,59,Success
329,7,Account,134579,3926,136,405,Success
330,645,Loan,60168,889,55,34,Success
331,20,Product,65523,4141,49,789,Fail
332,291,Loan,176338,10,233,169,Success
333,1041,Product,178592,3874,485,731,Success
334,941,Branch,113434,3860,8,787,Success
335,905,Loan,51591,3150,303,627,Success
336,32,Product,55860,3436,205,47,Success
337,741,Product,90282,221,115,793,Success
338,640,Branch,17666,4301,313,295,Success
339,798,Product,129522,2394,402,155,Success
340,551,Branch,191476,3384,294,270,Success
341,57,Loan,81156,4665,110,201,Success
342,130,Product,120984,170,498,162,Success
343,629,Product,109758,4435,62,510,Fail
344,309,Customer,189036,1747,464,670,Success
345,709,Product,197915,1506,456,53,Success
346,452,Customer,88671,508,437,541,Success
347,1066,Transaction,71489,1626,319,222,Success
348,214,Product,63270,1448,141,325,Fail
349,730,Transaction,101740,2365,215,484,Success
350,862,Loan,55467,2116,168,445,Success
351,558,Customer,199760,721,156,306,Success
352,235,Loan,56514,3497,84,265,Success
353,422,Card,145912,212,22,106,Success
354,422,Card,98950,2992,419,452,Fail
355,846,Transaction,82020,8,88,649,Success
356,326,Product,8738,4827,51,717,Success
357,814,Account,159684,1421,197,231,Success
358,225,Branch,190023,4298,255,782,Success
359,835,Loan,193166,1234,148,527,Success
360,883,Loan,90615,503,8,470,Fail
361,365,Account,30505,254,138,670,Success
362,540,Account,151535,3357,440,167,Success
363,573,Branch,180000,401,283,556,Success
364,898,Loan,7237,3154,391,209,Success
365,181,Customer,106835,339,266,623,Success
366,925,Loan,50104,2999,285,421,Success
367,246,Customer,40832,3004,317,37,Success
368,357,Customer,110549,396,56,567,Success
369,764,Customer,188142,2722,1,602,Success
370,458,Card,134432,1001,473,44,Success
371,115,Card,70381,4705,63,84,Success
372,289,Product,55972,1686,173,601,Success
373,421,Account,64458,336,408,337,Fail
374,514,Product,176947,56,156,90,Success
375,901,Customer,167265,4347,109,375,Success
376,415,Account,137736,713,350,754,Success
377,509,Loan,98497,2568,65,578,Fail
378,1028,Transaction,99564,4274,274,104,Success
379,241,Account,179884,3150,197,629,Success
380,139,Transaction,65632,4344,168,618,Success
381,277,Customer,13310,3360,251,120,Success
382,651,Branch,9313,740,197,666,Fail
383,359,Customer,69705,3383,145,580,Success
384,701,Branch,196469,3268,274,247,Success
385,126,Account,84715,516,124,612,Success
386,796,Product,32654,4720,490,531,Success
387,280,Transaction,108571,4258,351,615,Success
388,312,Product,121781,4905,358,209,Success
389,326,Loan,85977,4129,23,100,Success
390,709,Branch,64379,3662,116,20,Success
391,903,Card,122795,529,267,532,Success
392,99,Loan,22147,1408,0,596,Success
393,333,Transaction,107877,3776,20,161,Success
394,875,Branch,199961,2171,100,260,Success
395,1036,Transaction,195416,3858,77,369,Fail
396,241,Loan,92701,3625,118,182,Success
397,822,Branch,5614,2329,80,70,Success
398,490,Customer,164342,370,485,492,Fail
399,1081,Transaction,102255,3005,492,491,Success
400,194,Product,124380,4599,300,207,Success
401,520,Customer,156919,4658,419,147,Success
402,126,Product,49732,538,115,615,Success
403,164,Card,23608,2921,273,129,Success
404,855,Product,29728,1566,276,49,Success
405,55,Customer,71737,295,26,353,Success
406,978,Account,180320,865,266,144,Success
407,1053,Transaction,19886,4168,477,668,Fail
408,119,Customer,89391,3488,309,274,Success
409,491,Branch,81781,80,69,152,Success
410,115,Account,34848,1164,318,296,Success
411,566,Card,20047,3253,303,626,Success
412,114,Card,174761,2595,249,280,Success
413,445,Product,95073,4019,309,95,Success
414,512,Customer,114355,4239,372,211,Success
415,226,Loan,59373,2719,493,335,Success
416,16,Product,53468,1835,475,767,Success
417,1050,Card,73230,4419,118,62,Success
418,1064,Product,46208,2605,46,481,Success
419,359,Product,14555,1231,299,665,Success
420,514,Loan,176065,508,278,274,Success
421,421,Product,165011,1431,267,770,Success
422,7,Customer,57133,2431,483,440,Success
423,1005,Branch,157050,4339,34,292,Success
424,281,Transaction,32503,3799,321,437,Success
425,683,Customer,63415,4179,177,492,Success
426,887,Customer,186111,4401,335,775,Success
427,251,Product,9563,4478,22,140,Success
428,953,Card,188215,3333,118,423,Success
429,693,Customer,141523,1391,446,516,Success
430,782,Card,92919,2870,357,109,Success
431,496,Transaction,91108,3013,88,97,Success
432,192,Customer,198727,1480,344,223,Success
433,91,Loan,141997,1522,234,87,Success
434,997,Account,102159,3584,246,421,Fail
435,169,Card,97868,1321,350,206,Success
436,591,Loan,23757,4282,298,69,Fail
437,541,Card,122985,1012,467,253,Fail
438,1054,Loan,90484,339,41,385,Success
439,796,Branch,2532,1524,415,241,Success
440,521,Customer,103559,3452,187,390,Success
441,990,Card,114098,2129,204,237,Success
442,485,Customer,197860,2075,426,747,Success
443,950,Transaction,75850,678,413,291,Success
444,820,Branch,8559,1709,153,324,Fail
445,878,Branch,112219,1664,77,541,Success
446,63,Transaction,152141,2999,21,276,Success
447,137,Account,186481,2648,123,676,Success
448,221,Branch,30454,4311,191,176,Success
449,900,Branch,39118,2829,490,261,Success
450,697,Branch,23670,3232,158,328,Success
451,1048,Account,110581,24,214,641,Success
452,352,Product,149908,3174,357,600,Success
453,573,Card,108327,3246,30,758,Success
454,107,Product,71402,1275,65,49,Success
455,96,Account,71090,2335,117,622,Success
456,573,Product,12625,351,322,79,Fail
457,442,Loan,122778,987,110,279,Fail
458,534,Transaction,174926,3871,476,678,Fail
459,164,Card,181659,2570,225,481,Success
460,369,Customer,89682,9,303,275,Success
461,32,Product,85280,2450,470,110,Success
462,813,Transaction,40930,2975,260,180,Success
463,129,Card,50124,3257,403,504,Success
464,213,Branch,63934,2145,61,387,Fail
465,911,Customer,84935,2596,144,168,Success
466,411,Loan,50705,3765,73,400,Fail
467,330,Account,105327,2462,344,714,Success
468,898,Card,59503,4075,497,623,Success
469,257,Transaction,19718,4385,174,751,Success
470,921,Loan,154174,4076,158,633,Success
471,802,Branch,138152,4222,268,335,Success
472,461,Account,77600,2904,387,182,Success
473,204,Product,139011,3391,315,791,Success
474,382,Loan,180122,655,214,787,Success
475,755,Product,6576,653,429,730,Fail
476,511,Branch,103297,4577,223,332,Success
477,655,Branch,1572,1650,287,599,Success
478,214,Card,41236,2555,160,641,Success
479,826,Account,125974,874,218,532,Success
480,759,Customer,171402,1032,118,559,Success
481,631,Account,79295,3690,6,30,Success
482,747,Loan,24073,862,465,697,Success
483,433,Loan,23022,1381,184,622,Success
484,231,Transaction,81629,4883,200,214,Success
485,803,Product,132855,3370,163,212,Fail
486,330,Transaction,178865,4468,325,349,Success
487,349,Loan,72839,4618,174,286,Success
488,1076,Account,185377,2366,124,779,Success
489,1082,Card,7929,3029,380,186,Success
490,457,Account,49203,3162,52,513,Success
491,953,Customer,192213,947,224,620,Success
492,249,Card,119989,4542,61,527,Success
493,295,Transaction,136326,1072,369,498,Success
494,837,Product,66860,3073,250,275,Success
495,70,Account,112768,1287,361,95,Success
496,224,Loan,14659,1381,345,523,Success
497,843,Transaction,149506,4830,16,48,Success
498,252,Loan,147043,72,362,320,Success
499,806,Account,125931,3470,243,462,Success
500,415,Customer,21858,4181,148,235,Success
501,819,Transaction,104793,3270,285,383,Success
502,566,Product,182520,130,288,665,Success
503,64,Account,170688,1550,79,241,Success
504,482,Card,118259,1133,329,606,Success
505,15,Branch,28795,2129,97,645,Success
506,109,Transaction,78172,934,195,249,Success
507,111,Card,35555,4387,230,257,Success
508,71,Account,165832,2518,78,625,Success
509,444,Customer,140745,2397,195,60,Fail
510,698,Transaction,147469,890,321,25,Success
511,143,Branch,25911,1764,332,459,Success
512,479,Loan,197956,2934,130,259,Success
513,91,Account,155635,2749,496,538,Fail
514,297,Branch,85376,1060,486,182,Success
515,762,Transaction,45657,2571,336,159,Success
516,1021,Customer,67148,2992,286,458,Success
517,465,Card,73779,2987,113,445,Success
518,127,Branch,190159,366,228,650,Success
519,171,Loan,97473,475,480,570,Success
520,580,Account,79817,4477,455,727,Success
521,218,Customer,164352,4127,239,565,Success
522,95,Product,179864,4241,53,663,Fail
523,175,Account,129333,870,160,798,Fail
524,597,Customer,141896,2779,274,712,Success
525,465,Product,170464,526,497,730,Success
526,574,Account,123000,4507,46,281,Success
527,108,Account,116369,2299,0,529,Success
528,353,Product,174467,4929,398,212,Success
529,630,Customer,193628,2109,92,86,Success
530,90,Transaction,32772,2693,375,37,Success
531,60,Loan,37041,2768,437,253,Success
532,941,Transaction,122177,3946,60,147,Success
533,465,Account,133165,3119,63,377,Success
534,1039,Product,124707,4422,312,34,Success
535,112,Transaction,153870,4012,93,275,Success
536,679,Card,163875,4112,340,277,Success
537,453,Card,160532,2617,132,578,Success
538,95,Product,128658,43,376,91,Success
539,364,Product,146651,3554,327,378,Success
540,440,Product,79018,1298,476,538,Success
541,764,Card,189380,750,230,533,Success
542,270,Customer,106904,4266,328,452,Success
543,624,Account,193196,4976,485,586,Success
544,110,Transaction,166902,3903,230,530,Success
545,786,Customer,179164,2915,102,363,Success
546,614,Customer,150028,3872,399,228,Success
547,971,Product,126107,4224,494,429,Success
548,298,Branch,109096,444,76,577,Success
549,660,Loan,112481,3441,252,188,Fail
550,1094,Branch,109227,2871,167,733,Fail
551,751,Account,13378,2428,334,530,Success
552,798,Transaction,138830,4179,403,771,Fail
553,647,Transaction,130573,2684,205,367,Success
554,1008,Customer,41167,1854,388,542,Success
555,71,Customer,66328,317,282,570,Fail
556,734,Product,103841,660,247,487,Success
557,697,Loan,148495,720,280,21,Success
558,770,Loan,122875,654,334,209,Success
559,1006,Product,142379,294,250,356,Success
560,814,Branch,122602,192,22,669,Success
561,328,Account,91039,3492,261,589,Fail
562,655,Product,45760,370,283,625,Success
563,31,Loan,60746,238,166,780,Success
564,721,Product,10292,3184,408,278,Success
565,31,Account,61953,1460,141,237,Success
566,539,Transaction,151685,3854,69,741,Success
567,39,Customer,80521,1671,311,744,Success
568,487,Account,45096,4711,466,505,Success
569,356,Branch,95673,37,259,655,Success
570,138,Product,78861,2096,58,753,Success
571,45,Account,44142,1510,224,555,Success
572,53,Card,30306,582,117,101,Success
573,556,Account,146406,2317,435,318,Success
574,34,Transaction,21743,1044,448,365,Success
575,486,Branch,121470,1024,424,224,Success
576,433,Account,160730,3775,365,427,Success
577,861,Loan,198339,1192,358,383,Success
578,43,Transaction,132044,4152,385,130,Success
579,258,Customer,114415,397,462,614,Fail
580,606,Card,161130,918,266,418,Success
581,225,Loan,152934,2752,82,214,Fail
582,862,Transaction,113929,126,252,594,Success
583,954,Account,118470,3389,415,407,Success
584,755,Customer,146708,4442,258,59,Success
585,310,Branch,130779,1271,367,628,Success
586,1056,Card,28710,3669,72,554,Success
587,1074,Account,87592,4474,167,28,Success
588,663,Loan,197687,877,69,252,Success
589,543,Loan,112868,4634,101,669,Success
590,432,Transaction,101254,1308,130,440,Success
591,602,Card,86229,4136,403,259,Success
592,287,Branch,75493,4540,355,74,Success
593,702,Branch,34955,4513,155,70,Success
594,616,Branch,63864,2595,153,779,Fail
595,283,Card,146754,3817,402,135,Success
596,933,Transaction,69572,4799,497,122,Success
597,266,Account,172019,1401,217,167,Fail
598,514,Customer,150084,3831,217,593,Success
599,480,Customer,152356,3097,304,290,Success
600,1025,Branch,150664,4047,380,783,Success
601,454,Account,138408,1122,156,535,Success
602,66,Account,87624,890,91,201,Success
603,712,Product,32739,2643,293,772,Success
604,126,Branch,177726,4829,29,687,Success
605,1070,Account,102718,698,233,744,Success
606,588,Branch,13328,2637,146,599,Success
607,353,Branch,18597,1078,134,461,Success
608,719,Customer,6027,950,371,796,Success
609,755,Branch,169100,4436,77,722,Success
610,215,Branch,52856,2676,441,365,Success
611,914,Card,7921,1037,237,29,Success
612,1042,Product,33378,1585,338,502,Success
613,329,Loan,166389,2807,51,602,Success
614,1002,Product,198784,3592,132,638,Success
615,1073,Account,94260,1211,173,310,Success
616,611,Transaction,109417,3360,476,95,Success
617,462,Loan,76051,2073,470,396,Success
618,454,Card,175923,2124,155,661,Success
619,57,Loan,57509,3624,406,742,Success
620,176,Card,82667,4435,323,458,Success
621,62,Product,118960,765,490,521,Success
622,618,Product,36189,2104,464,96,Success
623,1045,Transaction,158046,656,445,652,Fail
624,429,Loan,128770,2532,458,477,Success
625,53,Customer,85655,4244,356,719,Success
626,756,Account,56016,3942,489,336,Success
627,413,Account,48163,4120,84,753,Fail
628,320,Transaction,81741,2025,66,542,Success
629,206,Transaction,125978,2298,312,617,Success
630,116,Product,19775,33,259,609,Success
631,467,Loan,110587,626,368,752,Success
632,102,Transaction,108709,1524,152,206,Success
633,774,Loan,94815,3084,71,397,Success
634,380,Product,50482,2431,163,510,Fail
635,957,Transaction,177090,374,458,212,Success
636,446,Account,80269,4599,142,672,Success
637,29,Account,168614,541,421,80,Success
638,29,Account,153158,4495,107,345,Success
639,98,Customer,132180,3139,160,358,Fail
640,1061,Transaction,181510,3355,299,393,Success
641,454,Branch,86961,264,456,563,Success
642,492,Account,15126,1744,250,320,Success
643,249,Loan,94131,1148,276,242,Success
644,407,Product,168758,4919,469,608,Success
645,902,Customer,147715,2224,278,607,Success
646,1075,Loan,46545,2886,61,466,Success
647,410,Customer,5873,1664,135,248,Success
648,40,Transaction,143413,2802,327,132,Success
649,1065,Branch,155071,4683,413,772,Success
650,722,Transaction,22544,3617,287,55,Success
651,1020,Account,72602,352,362,559,Success
652,1066,Transaction,18054,1652,441,590,Success
653,54,Loan,77165,4307,336,337,Success
654,523,Customer,114527,3060,83,405,Success
655,287,Loan,152624,3808,204,597,Fail
656,591,Customer,174119,3370,47,537,Success
657,613,Loan,59809,3874,107,237,Success
658,921,Transaction,124074,1327,473,489,Success
659,1080,Loan,96321,46,200,114,Success
660,943,Transaction,133380,1659,101,242,Success
661,91,Branch,131537,1083,22,798,Success
662,587,Customer,123341,2968,216,784,Success
663,930,Branch,92411,480,312,747,Success
664,657,Card,136961,4180,304,46,Success
665,97,Loan,157885,229,240,239,Success
666,12,Card,98620,4858,21,455,Success
667,120,Account,117866,1580,497,317,Success
668,450,Customer,1517,2068,477,735,Success
669,320,Product,85322,426,295,293,Success
670,123,Branch,181576,763,398,27,Success
671,821,Customer,53501,1991,130,294,Success
672,1059,Card,46681,3180,6,338,Success
