TransactionID,CustomerID,DateKey,Amount,Channel,TransactionType,IsFlagged
136,1144,462,56310,Online,Deposit,0
137,903,589,45433,POS,Payment,0
138,2499,184,83106,Online,Transfer,0
139,1691,461,12021,ATM,Deposit,0
140,851,251,9430,ATM,Withdrawal,0
141,737,486,96019,POS,Withdrawal,1
142,322,570,17093,ATM,Withdrawal,0
143,1610,894,12221,Online,Withdrawal,0
144,1097,895,20539,POS,Transfer,1
145,158,446,22196,POS,Transfer,0
146,1425,901,47518,Online,Transfer,0
147,1681,667,75296,POS,Withdrawal,0
148,1731,362,55190,Online,Deposit,0
149,2839,241,9628,POS,Withdrawal,0
150,719,141,14704,POS,Withdrawal,0
151,2128,993,45037,POS,Withdrawal,0
152,722,1000,35446,POS,Deposit,0
153,1706,1007,35915,POS,Payment,0
154,2718,791,37510,POS,Withdrawal,0
155,2050,620,93614,Online,Deposit,0
156,2434,524,11392,Online,Deposit,0
157,1247,885,71285,POS,Deposit,0
158,1437,671,85066,Online,Deposit,0
159,2856,213,93087,ATM,Deposit,0
160,624,1002,55578,POS,Transfer,0
161,826,753,64525,ATM,Transfer,0
162,1476,459,61113,POS,Transfer,0
163,1983,153,51240,ATM,Payment,0
164,227,848,20832,Online,Transfer,0
165,1722,62,59616,POS,Deposit,0
166,2811,479,17538,ATM,Withdrawal,0
167,1340,197,92679,POS,Transfer,0
168,2710,963,49448,ATM,Payment,0
169,742,65,68773,ATM,Payment,0
170,1742,570,95973,Online,Deposit,0
171,515,173,77222,POS,Withdrawal,0
172,1372,12,64233,ATM,Payment,0
173,2190,96,89373,POS,Transfer,0
174,237,1033,5301,Online,Deposit,0
175,1348,466,18560,Online,Transfer,0
176,638,107,41916,POS,Payment,0
177,2202,193,63958,ATM,Transfer,0
178,2490,404,19884,POS,Deposit,0
179,249,757,2527,ATM,Deposit,0
180,1084,658,33516,POS,Deposit,0
181,1541,110,78582,POS,Deposit,0
182,1701,553,99142,ATM,Payment,0
183,33,87,77648,POS,Transfer,0
184,2194,747,48029,POS,Payment,0
185,2550,723,77402,POS,Payment,0
186,1949,671,39015,ATM,Transfer,0
187,1597,790,50999,ATM,Withdrawal,0
188,1234,291,50158,ATM,Transfer,0
189,2847,772,94489,POS,Payment,0
190,1494,209,29292,POS,Transfer,0
191,1288,96,65593,ATM,Payment,0
192,836,424,8478,Online,Withdrawal,0
193,109,745,74239,ATM,Payment,0
194,2206,964,65579,ATM,Payment,0
195,2164,83,53355,Online,Withdrawal,0
196,2459,187,42174,ATM,Withdrawal,0
197,1969,714,85402,POS,Deposit,0
198,64,1086,63325,ATM,Payment,1
199,735,284,88141,POS,Deposit,0
200,2735,706,42538,ATM,Withdrawal,0
201,2092,658,90355,Online,Withdrawal,0
202,820,522,35953,POS,Deposit,0
203,2603,716,2627,Online,Deposit,0
204,1885,1060,50166,ATM,Payment,0
205,146,872,8137,Online,Payment,0
206,1501,932,71843,ATM,Payment,1
207,554,527,16115,POS,Transfer,0
208,988,472,14756,POS,Withdrawal,0
209,2259,943,75323,POS,Transfer,0
210,355,623,92863,POS,Withdrawal,0
211,2083,940,83869,Online,Payment,0
212,547,577,90346,POS,Payment,0
213,190,781,51030,POS,Transfer,0
214,1168,716,83825,POS,Transfer,0
215,301,506,97439,Online,Deposit,0
216,123,1025,3783,Online,Deposit,0
217,1830,376,32516,POS,Payment,0
218,2107,726,99917,ATM,Withdrawal,0
219,2227,966,18864,ATM,Deposit,0
220,1212,212,85972,ATM,Withdrawal,0
221,2265,269,18071,ATM,Transfer,0
222,2590,1066,73845,Online,Deposit,0
223,98,248,17796,POS,Deposit,0
224,751,648,8047,POS,Deposit,0
225,296,213,75760,ATM,Payment,0
226,1957,556,30148,ATM,Transfer,0
227,1027,103,52380,ATM,Deposit,0
228,2464,984,20838,Online,Deposit,0
229,1644,192,69949,ATM,Payment,0
230,2555,1019,87410,Online,Withdrawal,0
231,2566,231,4712,ATM,Withdrawal,0
232,1317,172,36353,POS,Withdrawal,0
233,2822,280,14143,POS,Transfer,0
234,4,486,71468,POS,Deposit,0
235,2488,85,81691,ATM,Withdrawal,0
236,313,456,21339,Online,Transfer,0
237,2472,435,55564,POS,Payment,0
238,925,853,9607,POS,Payment,0
239,1194,206,36343,Online,Payment,0
240,303,854,66230,POS,Payment,0
241,2366,500,3212,ATM,Transfer,0
242,793,794,17742,Online,Transfer,0
243,23,6,43777,POS,Deposit,1
244,2212,867,57069,Online,Payment,0
245,1616,832,2104,POS,Withdrawal,0
246,1815,938,50079,ATM,Deposit,0
247,1284,758,17887,ATM,Withdrawal,0
248,2441,126,15856,POS,Deposit,0
249,946,851,38327,Online,Deposit,0
250,490,545,15119,ATM,Withdrawal,0
251,2713,908,55157,POS,Payment,0
252,2238,61,6670,Online,Deposit,0
253,644,205,39301,POS,Transfer,0
254,1199,370,59750,POS,Transfer,0
255,1845,137,93166,POS,Payment,0
256,368,34,50314,ATM,Payment,0
257,1816,672,78174,ATM,Transfer,0
258,2489,246,48961,POS,Payment,0
259,2135,598,30748,Online,Withdrawal,0
260,2418,152,98081,POS,Withdrawal,0
261,2668,163,28392,Online,Transfer,1
262,2000,344,4839,POS,Transfer,0
263,2856,279,73622,Online,Transfer,0
264,2184,1024,24687,POS,Transfer,0
265,453,865,16355,ATM,Transfer,0
266,1026,199,826,Online,Transfer,0
267,539,721,9442,ATM,Deposit,0
268,2332,671,69356,Online,Payment,0
269,1304,2,50973,ATM,Deposit,0
270,1773,1031,27162,POS,Deposit,0
271,129,272,89342,POS,Payment,0
272,2029,357,11262,ATM,Deposit,0
273,1706,595,96347,POS,Payment,0
274,1296,154,18761,POS,Deposit,0
275,1206,725,55555,ATM,Deposit,0
276,159,111,90466,POS,Transfer,0
277,2098,979,11157,ATM,Deposit,0
278,275,499,10066,ATM,Transfer,0
279,1981,621,14977,Online,Payment,0
280,936,639,2127,ATM,Withdrawal,0
281,1181,125,54689,POS,Withdrawal,0
282,1548,181,82302,POS,Payment,0
283,1689,12,9677,POS,Deposit,0
284,313,740,21359,POS,Deposit,0
285,268,458,53968,ATM,Transfer,0
286,2313,509,89302,POS,Transfer,0
287,1150,87,85946,ATM,Withdrawal,0
288,2421,864,13342,ATM,Deposit,0
289,2214,598,22820,Online,Transfer,0
290,2399,965,42400,Online,Transfer,0
291,888,509,83934,ATM,Deposit,0
292,2304,56,14949,POS,Payment,0
293,2573,740,29670,POS,Payment,1
294,2035,927,56301,ATM,Deposit,0
295,1591,2,1229,POS,Payment,0
296,1443,914,15210,POS,Payment,0
297,2086,965,37440,Online,Payment,1
298,2227,1044,9063,ATM,Payment,0
299,871,139,8963,Online,Payment,0
300,761,5,66433,POS,Deposit,0
301,435,438,92050,ATM,Transfer,0
302,1817,976,5119,POS,Deposit,0
303,459,362,31306,Online,Transfer,0
304,2522,402,13310,Online,Withdrawal,0
305,1101,31,26897,POS,Payment,0
306,12,506,12502,ATM,Payment,0
307,333,302,1058,ATM,Withdrawal,0
308,744,640,31361,Online,Deposit,0
309,832,617,74585,POS,Payment,0
310,2476,540,70096,Online,Transfer,0
311,1544,163,13914,Online,Withdrawal,0
312,513,875,50579,POS,Deposit,0
313,1299,1086,23864,Online,Deposit,0
314,1414,26,51535,Online,Transfer,0
315,677,830,82949,Online,Deposit,0
316,2000,785,21330,Online,Transfer,0
317,2637,1087,77894,POS,Withdrawal,0
318,1172,47,99667,ATM,Withdrawal,0
319,977,345,24390,POS,Withdrawal,0
320,2433,354,8451,ATM,Transfer,0
321,2127,764,4748,Online,Transfer,0
322,2341,311,34526,ATM,Payment,0
323,1776,1085,85109,POS,Withdrawal,0
324,1715,139,32249,Online,Deposit,0
325,2506,704,12090,POS,Transfer,0
326,2160,131,29524,POS,Withdrawal,0
327,1184,751,39460,POS,Deposit,0
328,415,723,19028,POS,Payment,0
329,415,297,96326,Online,Transfer,0
330,194,107,47243,POS,Deposit,0
331,2323,942,37372,ATM,Withdrawal,0
332,75,6,10459,Online,Payment,0
333,2034,261,43708,Online,Withdrawal,0
334,1867,722,47377,POS,Payment,0
335,803,894,57068,POS,Withdrawal,0
336,1620,788,48932,ATM,Transfer,0
337,2748,1085,24561,ATM,Withdrawal,0
338,2100,140,56334,Online,Deposit,0
339,2840,429,58404,POS,Withdrawal,0
340,949,796,95373,Online,Transfer,0
341,565,954,67356,ATM,Payment,0
342,2296,297,13555,ATM,Payment,0
343,375,589,9950,Online,Transfer,0
344,1771,313,78881,ATM,Transfer,0
345,1317,1009,72004,Online,Deposit,0
346,1644,115,16495,POS,Payment,0
347,56,442,19208,ATM,Transfer,1
348,2743,427,15898,POS,Transfer,0
349,997,730,67008,Online,Transfer,0
350,2787,825,57363,ATM,Payment,0
351,1447,240,97701,POS,Withdrawal,0
352,1110,430,73042,ATM,Transfer,0
353,1386,909,33731,ATM,Deposit,0
354,1075,666,3327,POS,Payment,0
355,2533,165,70362,ATM,Payment,0
356,1192,616,88190,Online,Transfer,0
357,2060,476,82032,POS,Withdrawal,0
358,345,277,32722,Online,Payment,0
359,1014,664,19469,POS,Payment,0
360,824,1079,29958,ATM,Payment,0
361,1369,554,19454,POS,Transfer,0
362,1194,1038,62056,ATM,Payment,0
363,351,503,35058,Online,Withdrawal,0
364,582,519,65507,Online,Payment,0
365,2120,656,83990,ATM,Payment,1
366,1224,312,53483,ATM,Transfer,0
367,1818,329,66339,ATM,Transfer,0
368,334,460,31851,ATM,Payment,0
369,2189,523,24021,ATM,Deposit,0
370,674,754,79608,ATM,Withdrawal,0
371,1101,314,76064,POS,Transfer,0
372,798,360,92251,POS,Withdrawal,0
373,1835,482,36612,ATM,Payment,0
374,1634,485,43581,ATM,Transfer,0
375,2239,281,78982,Online,Payment,0
376,46,101,4995,Online,Payment,0
377,1568,828,98284,ATM,Deposit,0
378,44,198,11177,ATM,Deposit,1
379,1794,543,19083,Online,Payment,0
380,2809,642,25821,Online,Transfer,0
381,1212,223,98827,ATM,Deposit,0
382,1051,806,51205,POS,Transfer,0
383,280,905,77675,Online,Withdrawal,0
384,2058,81,14420,POS,Deposit,0
385,1078,714,35912,POS,Transfer,0
386,2446,804,92777,POS,Payment,0
387,2361,154,84123,ATM,Payment,0
388,1569,930,24432,ATM,Withdrawal,0
389,1214,85,88956,ATM,Withdrawal,0
390,848,739,75315,POS,Withdrawal,0
391,977,496,74245,POS,Withdrawal,0
392,1368,822,22779,Online,Payment,0
393,1622,1026,69088,ATM,Deposit,0
394,2625,1038,79221,POS,Transfer,0
395,753,395,28767,POS,Withdrawal,0
396,1799,260,65669,POS,Deposit,1
397,667,300,4880,POS,Withdrawal,0
398,694,213,43262,ATM,Payment,0
399,950,592,74020,POS,Deposit,0
400,1029,593,15505,POS,Withdrawal,0
401,1206,780,90599,POS,Withdrawal,0
402,2302,1010,64493,Online,Transfer,0
403,823,167,72588,POS,Withdrawal,0
404,2869,710,40795,POS,Deposit,0
405,255,1065,90418,ATM,Payment,0
406,1415,648,39387,POS,Payment,0
407,2988,291,60384,Online,Payment,0
408,1796,625,33351,ATM,Withdrawal,0
409,1725,416,96440,Online,Withdrawal,0
410,1377,847,70761,POS,Withdrawal,0
411,1710,71,32032,POS,Withdrawal,0
412,1412,1046,14701,Online,Payment,0
413,22,611,19029,POS,Transfer,0
414,1728,969,8954,POS,Payment,1
415,2617,343,29357,ATM,Deposit,1
416,2003,749,21192,Online,Transfer,0
417,1723,431,16220,POS,Deposit,0
418,1046,942,55221,ATM,Transfer,0
419,2098,273,61668,Online,Transfer,0
420,2227,451,65717,Online,Deposit,0
421,487,546,13372,POS,Deposit,0
422,1477,752,96902,POS,Transfer,0
423,1252,750,84085,POS,Payment,0
424,541,826,85052,ATM,Payment,0
425,2434,491,2233,ATM,Deposit,0
426,761,284,38387,ATM,Deposit,0
427,2048,883,27729,Online,Transfer,0
428,213,567,48886,ATM,Payment,0
429,140,233,17551,POS,Deposit,0
430,1892,676,93914,POS,Deposit,0
431,2295,882,31724,Online,Withdrawal,0
432,2256,245,97044,ATM,Deposit,0
433,1414,1087,88660,Online,Withdrawal,0
434,1296,680,67005,Online,Withdrawal,0
435,2176,970,12045,ATM,Transfer,0
436,41,979,67916,Online,Payment,0
437,2649,558,90986,Online,Deposit,0
438,776,462,44812,ATM,Payment,0
439,176,390,31585,POS,Deposit,0
440,589,270,99878,Online,Transfer,0
441,141,343,50527,POS,Withdrawal,0
442,1344,645,69052,POS,Deposit,0
443,1432,93,35783,ATM,Payment,0
444,1402,232,11206,ATM,Transfer,0
445,196,876,13439,ATM,Withdrawal,0
446,303,1004,48088,ATM,Transfer,0
447,1858,32,79139,Online,Transfer,0
448,413,956,8355,Online,Transfer,0
449,948,459,45256,POS,Payment,0
450,1374,1050,8766,Online,Transfer,0
451,1895,305,98970,Online,Transfer,0
452,2267,451,95709,Online,Transfer,1
453,1936,378,63717,POS,Payment,0
454,108,391,16451,POS,Payment,0
455,1328,271,72168,ATM,Withdrawal,0
456,1762,1039,57199,Online,Withdrawal,0
457,507,709,18919,Online,Payment,0
458,953,747,16323,Online,Transfer,0
459,2809,297,58215,Online,Payment,0
460,1951,196,39233,Online,Transfer,0
461,2407,474,1884,ATM,Deposit,0
462,778,983,81490,Online,Transfer,0
463,505,346,19482,POS,Payment,0
464,850,671,43282,ATM,Withdrawal,0
465,1173,364,29281,POS,Payment,0
466,2829,461,74282,POS,Transfer,0
467,213,267,78522,Online,Payment,0
468,1764,153,21742,Online,Withdrawal,0
469,1444,1052,76803,POS,Withdrawal,0
470,1156,607,60447,ATM,Transfer,0
471,1097,938,28542,ATM,Transfer,0
472,2205,1028,15984,ATM,Deposit,0
473,2066,1018,74241,Online,Deposit,0
474,2238,980,14440,ATM,Transfer,0
475,2770,254,38068,ATM,Transfer,0
476,1128,711,62876,Online,Deposit,0
477,817,910,1105,Online,Withdrawal,0
478,1486,670,63064,ATM,Transfer,0
479,115,188,90385,Online,Transfer,0
480,1150,593,45490,Online,Payment,0
481,48,954,22978,ATM,Deposit,0
482,1590,364,88910,ATM,Transfer,0
483,184,446,95608,Online,Withdrawal,0
484,2876,15,88835,ATM,Payment,0
485,2761,787,94777,POS,Payment,0
486,2330,489,93145,POS,Deposit,0
487,140,545,48949,ATM,Deposit,0
488,1792,718,8776,POS,Withdrawal,0
489,2953,411,14212,ATM,Transfer,0
490,1064,541,27219,POS,Deposit,0
491,115,729,1222,ATM,Deposit,0
492,2761,933,9794,POS,Deposit,0
493,352,424,39472,POS,Transfer,0
494,902,636,64026,POS,Deposit,0
495,158,629,5579,ATM,Payment,0
496,1921,143,28389,POS,Deposit,0
497,533,875,49025,Online,Payment,0
498,2760,437,84274,Online,Transfer,0
499,914,400,92686,ATM,Transfer,0
500,1767,919,33642,ATM,Deposit,0
501,1062,743,93596,ATM,Deposit,0
502,1151,441,35394,Online,Withdrawal,0
503,2647,1064,67148,POS,Withdrawal,0
504,457,1082,43968,Online,Deposit,0
505,102,280,44138,ATM,Deposit,0
506,2064,549,66887,Online,Deposit,0
507,2618,596,98670,ATM,Payment,0
508,311,935,90386,Online,Transfer,0
509,1503,588,62753,Online,Transfer,0
510,1709,12,74724,POS,Withdrawal,0
511,83,562,1409,POS,Deposit,0
512,964,164,24873,POS,Payment,1
513,2806,591,37205,POS,Deposit,0
514,2655,203,58879,Online,Withdrawal,0
515,2618,618,16816,ATM,Payment,0
516,1098,423,75369,ATM,Withdrawal,0
517,156,37,81096,Online,Transfer,1
518,974,1041,29817,Online,Withdrawal,0
519,2854,371,5893,Online,Transfer,0
520,1340,700,23760,ATM,Transfer,0
521,1605,353,85013,ATM,Transfer,0
522,333,504,80413,POS,Withdrawal,0
523,774,134,75355,ATM,Payment,0
524,892,973,51083,Online,Transfer,0
525,1915,780,444,ATM,Deposit,0
526,2690,1092,94875,Online,Deposit,0
527,498,569,87024,POS,Withdrawal,0
528,523,388,86639,POS,Withdrawal,0
529,1125,642,58069,POS,Payment,0
530,633,456,78385,Online,Deposit,0
531,2894,454,92382,ATM,Transfer,0
532,283,338,13446,Online,Transfer,0
533,2405,942,71786,POS,Payment,0
534,148,569,74012,ATM,Withdrawal,0
535,1589,28,55561,POS,Withdrawal,0
536,2469,723,19586,ATM,Transfer,0
537,2163,810,33117,ATM,Transfer,0
538,2310,403,12667,Online,Deposit,1
539,390,1040,23761,ATM,Payment,0
540,2536,426,74072,ATM,Transfer,0
541,30,852,20908,Online,Deposit,0
542,753,1091,43315,POS,Withdrawal,0
543,1493,1047,65468,Online,Withdrawal,0
544,1110,408,45302,Online,Transfer,0
545,2145,664,69827,POS,Withdrawal,0
546,2071,533,3257,ATM,Withdrawal,0
547,981,714,21343,Online,Withdrawal,0
548,1398,1051,20855,Online,Payment,0
549,341,1063,52104,Online,Withdrawal,0
550,2975,369,3667,Online,Payment,0
551,2757,554,45052,Online,Withdrawal,0
552,1766,853,91524,Online,Transfer,0
553,2579,377,39011,ATM,Deposit,0
554,1750,248,35750,POS,Deposit,0
555,201,693,29578,Online,Payment,0
556,1358,377,31538,Online,Payment,0
557,913,188,26522,ATM,Withdrawal,0
558,390,827,85379,Online,Payment,0
559,430,853,61500,POS,Deposit,0
560,2110,367,88883,Online,Withdrawal,0
561,101,304,70112,ATM,Transfer,0
562,780,498,1490,ATM,Withdrawal,0
563,1147,337,68432,ATM,Withdrawal,0
564,1592,1096,74919,Online,Payment,0
565,1575,622,91513,Online,Payment,0
566,1029,264,62916,Online,Transfer,0
567,2065,486,12471,Online,Payment,0
568,291,587,46821,Online,Deposit,0
569,1387,170,21379,POS,Withdrawal,0
570,1755,530,77698,ATM,Deposit,0
571,1799,941,84171,POS,Transfer,0
572,134,300,27044,Online,Deposit,0
573,592,253,85205,POS,Payment,0
574,26,670,9116,ATM,Deposit,0
575,1420,934,24120,POS,Withdrawal,0
576,1758,560,34619,Online,Deposit,0
577,2739,77,55146,POS,Deposit,0
578,2839,939,40815,Online,Deposit,0
579,2956,1084,49972,POS,Payment,0
580,1533,813,7076,POS,Transfer,0
581,491,770,70252,Online,Deposit,0
582,1403,909,12489,ATM,Withdrawal,0
583,2150,805,98137,POS,Withdrawal,0
584,1597,129,80137,ATM,Withdrawal,0
585,114,1018,90525,POS,Transfer,1
586,1754,579,3552,ATM,Deposit,0
587,1106,531,68777,POS,Deposit,0
588,877,155,21849,POS,Payment,0
589,1436,308,23560,ATM,Payment,0
590,828,731,6077,ATM,Payment,0
591,2251,600,74485,Online,Transfer,0
592,2621,1062,4836,ATM,Transfer,0
593,132,1022,77084,POS,Deposit,0
594,2163,179,51591,POS,Deposit,0
595,1533,442,75422,POS,Deposit,0
596,2665,76,75866,Online,Payment,0
597,2665,451,15897,POS,Payment,0
598,1243,563,47652,ATM,Transfer,0
599,1259,795,78993,Online,Payment,0
600,1481,342,55668,Online,Payment,0
601,1233,145,7173,ATM,Payment,0
602,1469,502,50669,POS,Deposit,0
603,2282,389,15136,Online,Transfer,0
604,1570,738,41852,Online,Payment,0
605,1151,742,21614,Online,Payment,0
606,1051,836,78734,POS,Deposit,0
607,2993,73,46665,Online,Withdrawal,0
608,1529,1029,94757,ATM,Payment,0
609,970,458,7829,Online,Transfer,0
610,2946,361,67645,Online,Transfer,0
611,1359,793,59232,Online,Payment,0
612,130,675,19551,POS,Payment,0
613,799,91,59842,Online,Payment,0
614,2103,105,31893,Online,Deposit,0
615,2322,1039,47206,Online,Payment,1
616,1895,277,51930,Online,Deposit,0
617,81,633,78898,Online,Withdrawal,0
618,2444,235,92912,ATM,Payment,0
619,353,781,51326,ATM,Transfer,0
620,2840,11,84121,POS,Withdrawal,0
621,966,184,65346,Online,Transfer,1
622,1985,1016,47876,ATM,Withdrawal,0
623,1203,810,25475,Online,Payment,0
624,2977,1076,68071,POS,Payment,0
625,759,409,45971,ATM,Deposit,0
626,99,344,12653,Online,Deposit,0
627,2870,88,49793,ATM,Deposit,0
628,2566,398,33833,POS,Payment,0
629,1681,476,65283,ATM,Withdrawal,0
630,92,178,69026,Online,Payment,0
631,2663,721,13794,POS,Payment,0
632,1484,279,78000,ATM,Transfer,0
633,2960,914,56020,POS,Transfer,0
634,70,372,57324,Online,Transfer,0
635,2165,401,14569,ATM,Transfer,0
636,261,607,66051,ATM,Payment,0
637,1254,972,20044,POS,Transfer,0
638,1483,422,86713,ATM,Withdrawal,0
639,2584,817,62243,Online,Payment,0
640,984,915,70051,POS,Payment,0
641,2375,948,2332,Online,Deposit,0
642,2427,368,54949,POS,Withdrawal,0
643,438,947,44392,POS,Withdrawal,0
644,400,38,72095,Online,Transfer,0
645,2400,259,94697,POS,Payment,0
646,4,939,24143,ATM,Deposit,0
647,112,323,51014,Online,Payment,0
648,1059,393,65450,ATM,Withdrawal,0
649,117,459,29654,POS,Payment,0
650,912,586,78465,ATM,Withdrawal,0
651,2586,1044,4820,ATM,Deposit,0
652,2147,604,84885,Online,Transfer,0
653,1801,56,62378,POS,Payment,0
654,336,1003,99891,ATM,Withdrawal,0
655,2781,966,10266,POS,Deposit,0
656,669,145,84841,ATM,Withdrawal,1
657,2161,25,10962,POS,Deposit,0
658,2404,332,57169,POS,Payment,0
659,2086,225,31357,ATM,Payment,0
660,2792,1047,95177,POS,Deposit,0
661,1223,357,64480,Online,Transfer,0
662,1309,560,92418,ATM,Payment,0
663,1535,986,96824,POS,Payment,0
664,204,605,70401,ATM,Withdrawal,1
665,2351,21,18725,POS,Deposit,0
666,2908,737,3049,Online,Payment,1
667,2901,1007,63406,POS,Deposit,0
668,2326,185,35366,POS,Withdrawal,0
669,307,1087,19274,POS,Payment,0
670,779,371,31040,ATM,Withdrawal,0
671,2390,317,99297,POS,Transfer,0
672,19,465,78806,POS,Payment,0
673,1914,702,67226,ATM,Withdrawal,0
674,2458,451,70362,ATM,Payment,0
675,269,1031,56213,ATM,Transfer,0
676,1221,70,56414,POS,Payment,0
677,422,803,92321,ATM,Transfer,0
678,1151,750,20833,POS,Deposit,0
679,1534,367,71653,Online,Withdrawal,0
680,20,410,49581,ATM,Payment,0
681,2741,1045,41313,POS,Withdrawal,0
682,404,247,64988,ATM,Withdrawal,0
683,476,236,2082,POS,Payment,0
684,748,484,56932,POS,Payment,0
685,2494,328,18130,Online,Payment,0
686,1380,822,14248,Online,Transfer,0
687,2727,575,11097,Online,Withdrawal,0
